pitcher_id,event
518516,Flyout
518516,Single
518516,Hit By Pitch
518516,Forceout
518567,Groundout
518567,Single
518567,Double
518567,Single
518567,Flyout
518516,Groundout
518516,Single
518516,Lineout
518516,Triple
518516,Strikeout
518567,Strikeout
518567,Single
518567,Single
518567,Strikeout
518567,Strikeout
518516,Strikeout
518516,Groundout
518516,Walk
518516,Forceout
518567,Single
518567,Single
518567,Double
518567,Sac Fly
518567,Groundout
518567,Walk
605177,Single
605177,Bunt Pop Out
518516,Single
518516,Grounded Into DP
518516,Groundout
605177,Strikeout
605177,Flyout
605177,Groundout
518516,Flyout
518516,Single
518516,Grounded Into DP
605177,Strikeout
605177,Groundout
605177,Groundout
518516,Flyout
518516,Flyout
518516,Single
518516,Forceout
543339,Single
543339,Lineout
543339,Pop Out
543339,Single
543339,Flyout
425657,Single
466948,Walk
466948,Flyout
466948,Single
489265,Double
489265,Strikeout
489265,Walk
346793,Strikeout
424144,Strikeout
424144,Walk
446899,Grounded Into DP
433586,Pop Out
433586,Groundout
433586,Strikeout
543243,Lineout
543243,Pop Out
543243,Groundout
451596,Strikeout
451596,Triple
451596,Home Run
451596,Strikeout
451596,Groundout
543243,Groundout
543243,Lineout
543243,Strikeout
451596,Strikeout
451596,Groundout
451596,Groundout
451596,Flyout
543243,Flyout
543243,Groundout
543243,Hit By Pitch
543243,Forceout
451596,Groundout
451596,Groundout
451596,Double
451596,Strikeout
543243,Groundout
543243,Groundout
543243,Flyout
451596,Walk
451596,Lineout
451596,Double
451596,Single
451596,Flyout
451596,Strikeout
543243,Groundout
543243,Flyout
543243,Flyout
451596,Single
542914,Lineout
542914,Field Error
542914,Walk
542914,Pop Out
542914,Strikeout
543243,Strikeout
543243,Groundout
543243,Field Error
543243,Pop Out
542914,Strikeout
542914,Single
542914,Strikeout
542914,Groundout
543243,Lineout
543243,Groundout
543243,Strikeout
607309,Flyout
607309,Walk
607309,Flyout
607309,Single
607309,Home Run
607309,Strikeout
543243,Single
543243,Double Play
543243,Walk
543243,Groundout
542669,Single
542669,Flyout
542669,Walk
542669,Flyout
542669,Double
542669,Groundout
519267,Flyout
519267,Strikeout
519267,Strikeout
547888,Strikeout
547888,Groundout
547888,Strikeout
571800,Strikeout
571800,Lineout
571800,Flyout
547888,Strikeout
547888,Groundout
547888,Single
547888,Flyout
571800,Strikeout
571800,Pop Out
571800,Strikeout
547888,Single
547888,Walk
547888,Sac Bunt
547888,Single
547888,Flyout
547888,Home Run
547888,Groundout
547888,Groundout
571800,Walk
571800,Flyout
571800,Pop Out
571800,Groundout
547888,Strikeout
547888,Single
547888,Strikeout
547888,Walk
547888,Strikeout
571800,Groundout
571800,Groundout
571800,Walk
571800,Single
571800,Groundout
455119,Strikeout
455119,Strikeout
455119,Strikeout
571800,Single
571800,Pop Out
571800,Lineout
571800,Flyout
592741,Flyout
592741,Flyout
592741,Flyout
571800,Home Run
571800,Flyout
571800,Lineout
571800,Flyout
592741,Home Run
592741,Flyout
502304,Groundout
502304,Flyout
571901,Flyout
571901,Lineout
571901,Groundout
502304,Pop Out
502304,Strikeout
502304,Groundout
571901,Hit By Pitch
571901,Strikeout
571901,Flyout
571901,Walk
612434,Runner Out
458677,Walk
458677,Strikeout
458677,Walk
458677,Forceout
458677,Walk
469134,Strikeout
612434,Flyout
612434,Strikeout
612434,Lineout
572020,Lineout
572020,Flyout
572020,Groundout
450351,Flyout
450351,Pop Out
450351,Groundout
572020,Strikeout
572020,Flyout
572020,Groundout
450351,Single
450351,Lineout
450351,Walk
450351,Forceout
450351,Flyout
572020,Lineout
572020,Pop Out
572020,Walk
572020,Strikeout
450351,Groundout
450351,Single
450351,Lineout
450351,Groundout
572020,Flyout
572020,Double
572020,Home Run
572020,Strikeout
572020,Single
572020,Strikeout
450351,Groundout
450351,Groundout
450351,Strikeout
572020,Groundout
572020,Groundout
572020,Single
572020,Strikeout
450351,Groundout
450351,Pop Out
450351,Groundout
572020,Groundout
572020,Groundout
572020,Flyout
450351,Groundout
450351,Flyout
450351,Groundout
452666,Groundout
452666,Strikeout
452666,Strikeout
450351,Flyout
450351,Groundout
450351,Lineout
500721,Groundout
500721,Groundout
500721,Double
500721,Lineout
450351,Groundout
450351,Groundout
450351,Strikeout
500721,Field Error
500721,Strikeout
621397,Grounded Into DP
434718,Strikeout
434718,Strikeout
434718,Lineout
502009,Walk
502009,Lineout
502009,Single
502009,Double
502009,Double
